sim_time,super_dense_time,controller.moveDiscreteCommand,controller.MovementArgs_target_X,controller.MovementArgs_target_Y,controller.MovementArgs_target_Z,dmodel.movediscrete,mapping.q0,mapping.q1,mapping.q2,mapping.q3,mapping.q4,mapping.q5,mapping.robotStopped,mapping.moveCompleted
42.5,1,False,8.0,10.0,0.0,True,-2.5564659982949385,-1.8914319221478886,1.8389777469231285,-2.170166830357263,-0.8739747090847443,-0.8228621214412337,False,False
43.0,1,False,8.0,10.0,0.0,True,-2.9613846881340455,-1.3965570012426545,1.7329139742028667,-2.1698325785280144,-0.7884370316055174,-1.346720709967931,True,False
43.5,1,False,8.0,10.0,0.0,True,-3.074200242086513,-1.2087187314321906,1.73238277956795,-2.170052575198647,-0.78779977853553,-1.4799358685693411,True,True
44.0,1,False,8.0,10.0,0.0,True,-3.075594689185043,-1.2049976818355121,1.7323827795679536,-2.1696982970225465,-0.7876501272280381,-1.4779205517434066,True,True
44.5,1,False,8.0,10.0,0.0,True,-3.0755148734283138,-1.2022005157884026,1.732382779567959,-2.1701107607822223,-0.7875023046367047,-1.4780933729705508,True,True
45.0,1,False,8.0,10.0,0.0,True,-3.075671019549379,-1.2015403603907595,1.7323827795679572,-2.1698522290602478,-0.7873880927775483,-1.4778498272330616,True,True
45.5,1,False,8.0,10.0,0.0,True,-3.075604538349771,-1.2015328592331747,1.732382779567958,-2.1699676778349497,-0.7878137329037305,-1.4779991825225656,True,True
46.0,1,False,8.0,10.0,0.0,True,-3.075624111102875,-1.2023618518747767,1.7323827795679598,-2.170600258206174,-0.787434350786457,-1.4781236215353513,True,True
46.5,1,False,8.0,10.0,0.0,True,-3.0755306811266614,-1.2008640721832524,1.732382779567959,-2.169626987508475,-0.7875002716828492,-1.4780810457129947,True,True
47.0,1,False,8.0,10.0,0.0,True,-3.0756472989543946,-1.200831136576677,1.7323827795679625,-2.169669084365643,-0.7865054800752231,-1.477955453273494,True,True
47.5,1,False,8.0,10.0,0.0,True,-3.0757292283887736,-1.2010755309983372,1.7323827795679652,-2.169973835085206,-0.7872769659669032,-1.4780164599550991,True,True
48.0,1,False,8.0,10.0,0.0,True,-3.075679736982109,-1.201695335014385,1.732382779567966,-2.1700010032878456,-0.787361475583098,-1.4780621286281503,True,True
48.5,1,True,1.0,13.0,0.0,True,-3.0755851173280417,-1.2018533077886921,1.7323827795679678,-2.169934915875051,-0.7874314218934826,-1.4778464261039241,True,True
49.0,1,False,1.0,13.0,0.0,True,-3.075573839872871,-1.2035440121456693,1.732382779567966,-2.169789308100264,-0.7876131957093491,-1.4782584072018548,True,True
49.5,1,False,1.0,13.0,0.0,True,-3.0755998759226726,-1.2029056558407358,1.7323827795679687,-2.17006176124596,-0.787402492093292,-1.4778680365162922,True,False
50.0,1,False,1.0,13.0,0.0,True,-3.0756583077674557,-1.2024656157035478,1.7323827795679705,-2.1703042632812126,-0.787241815662794,-1.4779260607758768,False,False
50.5,1,False,1.0,13.0,0.0,True,-3.067009091254561,-1.2097892991388983,1.723954475584903,-2.1604905535276613,-0.799867703252664,-1.4684984633898326,True,False
51.0,1,False,1.0,13.0,0.0,True,-2.705755405366748,-1.351975809915566,1.4109180479662617,-2.077039898573129,-0.9263131644427034,-1.0411732856771811,True,True
51.5,1,False,1.0,13.0,0.0,True,-2.5849027917106033,-1.3430813780052455,1.3616514863112812,-2.0770594991113445,-0.9263093494224037,-0.8496166509622292,True,True
52.0,1,False,1.0,13.0,0.0,True,-2.584674647256378,-1.3433917208139823,1.3616514733916043,-2.0768606502394826,-0.9263753594135906,-0.8488329560698418,True,True
52.5,1,False,1.0,13.0,0.0,True,-2.5846589891911194,-1.3442929834490398,1.3616514733916034,-2.0770054389404153,-0.9269701866119489,-0.8491915426710106,True,True
